‘ª’è’n“_[mm],R[V],theta[ƒ¦]
0.0,6.0790660207431e-07,-49.7521497175678
2.0,5.75060462121963e-07,-49.9623649783724
4.0,5.61750079404734e-07,-48.8113993626981
6.0,5.84291756743976e-07,-45.6598602483759
8.0,6.06301097147422e-07,-45.6347152276597
10.0,6.30212050532106e-07,-46.2516173631212
12.0,6.24164138585937e-07,-47.0434415123915
14.0,6.01262078883641e-07,-46.5214126958486
16.0,6.11605660456611e-07,-47.7176139364146
18.0,5.94504078259753e-07,-49.5803764813776
20.0,5.98812995904085e-07,-48.5373354220656
22.0,5.99774689858349e-07,-45.9691857741557
24.0,6.15600170307754e-07,-43.5012792463106
26.0,6.09758099098927e-07,-40.8034726621903
28.0,5.75332158979498e-07,-41.4416137725635
30.0,5.68748296766429e-07,-42.6997826831369
32.0,5.9277712615709e-07,-43.7813420434874
34.0,5.82527887162879e-07,-44.5022975141838
36.0,5.77191221285525e-07,-45.846107198934
38.0,5.74283960275188e-07,-47.8663846350687
40.0,5.47038990208488e-07,-50.3945015948386
42.0,5.49431720900912e-07,-48.6932649339893
44.0,5.99984231663202e-07,-48.2751808058969
46.0,6.33471646477577e-07,-47.0504036601859
48.0,6.60689004659905e-07,-45.0361588795041
50.0,6.27030039724083e-07,-45.5101259687149
52.0,5.63742359973807e-07,-47.1895571900006
54.0,5.59659161676732e-07,-48.1157445452688
56.0,5.71504407464764e-07,-46.8195649042254
58.0,5.59234852271875e-07,-42.9005967115592
60.0,5.50254804447602e-07,-42.8392103566053
62.0,5.7198085233946e-07,-44.466449467263
64.0,5.64407234163534e-07,-47.1817034017019
66.0,5.47160297047447e-07,-50.2112566342146
68.0,5.82796264208332e-07,-53.9633151229066
70.0,6.04130592775278e-07,-51.2768372939662
72.0,6.15283464314737e-07,-49.9414293571281
74.0,5.88913627505516e-07,-50.6133440316253
76.0,5.80005977804114e-07,-44.7517512103563
78.0,5.96114242166475e-07,-42.6073251261008
80.0,6.22458762992381e-07,-43.3869101511459
82.0,6.1755334479048e-07,-46.6626019550572
84.0,6.02537714676964e-07,-47.3251961246991
86.0,6.00906187840496e-07,-46.2380182944412
88.0,5.96245886890346e-07,-43.7936173076274
90.0,5.86022654440479e-07,-42.4079805391677
92.0,5.84305267684207e-07,-42.6816836810148
94.0,5.65195557528101e-07,-43.4619488189843
96.0,5.40449887569683e-07,-43.5008290565249
98.0,5.51580444054912e-07,-46.5572334300986
100.0,5.97076952081606e-07,-46.2683690160722
