‘ª’è’n“_[mm],R[V],theta[ƒ¦]
0.0,9.48076873324408e-07,-22.1417578628915
2.0,1.01796960153924e-06,-20.5823498910748
4.0,9.9465437889098e-07,-23.0321119337037
6.0,1.05901979765036e-06,-20.006471569193
8.0,1.05758573262397e-06,-23.6059898580726
10.0,1.05217052130808e-06,-20.4032059663916
12.0,1.01208888168826e-06,-24.2542725806919
14.0,6.96028817861583e-07,-25.9361221998824
16.0,1.68819895936087e-06,-160.755190836212
18.0,7.86118449246507e-07,-33.3845713846682
20.0,6.44962071481952e-07,-29.886511878344
22.0,4.97217752569553e-07,-98.4608166897023
24.0,9.49039728267556e-07,36.1759280610295
26.0,4.0731350308779e-07,-147.303121712574
28.0,9.04336844077444e-07,31.301495317742
30.0,8.67873712295937e-07,34.4998341700102
32.0,9.98792965628125e-07,41.6811877559522
34.0,9.31632358748494e-07,41.6844059337239
36.0,8.99446957502867e-07,37.7570004656386
38.0,9.63833377319756e-07,36.6081294539043
40.0,8.55616509779921e-07,41.2532876967262
