‘ª’è’n“_[mm],R[V],theta[ƒ¦]
10.0,9.52549804458625e-07,-112.642050692731
12.0,1.00313414107568e-06,-112.642050692731
14.0,1.03270013285202e-06,-111.69044455094
16.0,9.88195427923495e-07,-112.758209542418
18.0,1.03776531282147e-06,-114.989621887161
20.0,1.1559335485521e-06,-118.177494373955
22.0,1.21863275025301e-06,-119.515286642903
24.0,1.24010346722153e-06,-119.515286642903
26.0,1.22502904970596e-06,-117.619727314355
28.0,1.10688572244707e-06,-117.619727314355
30.0,1.04148046632996e-06,-108.837986012819
32.0,1.09091959365842e-06,-103.45933745134
34.0,1.08627119498938e-06,-104.828202064193
36.0,9.48180160327027e-07,-104.828202064193
38.0,8.19675436634874e-07,-116.376424445085
40.0,7.53670109054947e-07,-117.130683656495
42.0,7.40811147039325e-07,-117.130683656495
44.0,7.79479239648104e-07,-123.816722723598
46.0,7.94795067892094e-07,-124.292636000489
48.0,7.28935948125424e-07,-119.791353008429
50.0,7.38158268975427e-07,-115.974584179323
52.0,8.00308802970819e-07,-112.883735066066
54.0,8.20673038511641e-07,-112.883735066066
