‘ª’è’n“_[mm],R[V],theta[ƒ¦]
10.0,4.51902479260386e-07,-144.894182455371
12.0,6.69027308681241e-07,-140.8350606088
14.0,7.9365766239006e-07,-157.462280593418
16.0,9.39231225618165e-07,-152.030318665856
18.0,8.68002617588278e-07,-142.608353800078
20.0,7.49002286142889e-07,-122.620573124118
22.0,4.75171669419233e-07,-130.742365365125
24.0,4.76749752772662e-07,-151.241266987602
26.0,4.62301841440663e-07,-174.213023395321
28.0,5.01008674331357e-07,-163.554942558588
30.0,5.1989098989785e-07,-156.338714174757
32.0,5.46013906139177e-07,-157.109886382576
34.0,6.1132646589808e-07,-169.20769481342
36.0,6.86694358429049e-07,-143.217581402279
38.0,7.19034025175225e-07,-126.346317732072
40.0,6.5969186100346e-07,-126.676682541264
42.0,6.30920537175244e-07,-134.859821271948
44.0,4.83028087758799e-07,-143.433796144961
46.0,5.7109513736274e-07,-157.501726132571
48.0,7.2626473606504e-07,-158.139575522566
50.0,7.58801252602255e-07,-154.115990641932
52.0,8.82185391392424e-07,-158.222482473955
54.0,7.84158928790635e-07,-152.759873855349
56.0,4.95337160762238e-07,-142.754516231825
58.0,2.99252788285565e-07,-140.019289449425
60.0,3.8459585016448e-07,-167.752598965188
62.0,5.47230036309677e-07,-169.823786409898
64.0,5.96004921384164e-07,-157.260441622912
66.0,6.95517060044249e-07,-165.572824202692
68.0,7.420359519279e-07,-167.18509430892
70.0,7.66855662319676e-07,-160.963854969376
72.0,7.26093434662498e-07,-151.63350477365
74.0,7.30687040075737e-07,-138.345756845297
76.0,5.28668287051413e-07,-139.355846601815
78.0,5.14584055015892e-07,-151.324663837421
80.0,4.71592832850996e-07,-154.02283531114
82.0,4.57889667449878e-07,-157.575707054951
84.0,4.48379325472752e-07,-158.508038650191
86.0,4.4840275100287e-07,-155.016202958295
88.0,5.3662977708123e-07,-168.987669304243
90.0,7.24920413596699e-07,-168.602115637329
92.0,7.95020142421447e-07,-151.839615161866
94.0,7.30282748409913e-07,-163.430746711399
96.0,9.95068368675556e-07,169.452009760327
98.0,1.24793471989065e-06,155.156934717984
100.0,1.95929545999292e-06,151.25201929906
