‘ª’è’n“_[mm],R[V],theta[ƒ¦]
10,2.02E-07,-73.0590019
11,1.30E-07,94.45026633
12,1.87E-07,-129.8906957
13,4.74E-08,-148.5999937
14,9.94E-08,-58.26053989
15,1.16E-07,-160.3575492
16,3.80E-08,75.02147127
17,4.85E-08,164.8748078
18,1.13E-07,-60.88925829
19,8.66E-08,-112.3718792
20,1.43E-07,-79.49800144
