‘ª’è’n“_[mm],R[V],theta[ƒ¦],frequency:500.0
0.0,8.79051591295226e-07,44.6225297934291
2.0,8.36753757008775e-07,43.2049729039096
4.0,8.33421685581401e-07,40.7853481202197
6.0,8.39886686755675e-07,39.1786006025852
8.0,8.40884656746334e-07,40.867400458571
10.0,8.82853059612938e-07,46.8655676076516
12.0,9.35970357250306e-07,50.7789807105
14.0,8.78115032762036e-07,48.3785318834626
16.0,8.47354052750656e-07,46.9536789908306
18.0,7.8149522804478e-07,47.5522342993718
20.0,7.96116811129981e-07,44.6827497321445
22.0,8.17087577601573e-07,43.3698406084367
24.0,8.66034022301486e-07,42.9876676132639
26.0,9.03897640198476e-07,47.0332880752743
28.0,8.91363808553048e-07,47.787080537711
30.0,8.91483799371785e-07,46.6679454157838
32.0,8.7395020748892e-07,46.5947343715196
34.0,8.56013786872016e-07,43.9243653074419
36.0,8.19333801324393e-07,42.4518343015399
38.0,8.14504626810678e-07,43.3039306697167
40.0,8.18315096371394e-07,42.5920479528329
42.0,7.86737101387398e-07,39.2323982387057
44.0,8.02952661617402e-07,39.3543841138483
46.0,8.08366607457671e-07,42.0153969273242
48.0,7.77709569195282e-07,43.0934306977758
50.0,8.03628160338802e-07,43.7915331636923
52.0,7.87007385261274e-07,45.1050334492548
54.0,8.09295642852561e-07,44.4139143934105
56.0,8.35931336798239e-07,41.6269174798073
58.0,8.08237161123504e-07,42.1300236736554
60.0,7.76408747132659e-07,42.2651479980064
62.0,8.11480585632995e-07,41.4564100807757
64.0,8.78980843829739e-07,43.6126783990222
66.0,8.46831159030932e-07,45.5302265675124
68.0,8.81872561411893e-07,46.0344434474959
70.0,8.5918705034649e-07,45.480344298107
72.0,8.22390193323029e-07,43.1022462509545
74.0,8.34904121676515e-07,42.5310998957288
76.0,8.56948028473717e-07,44.0667430790745
78.0,8.94036358941554e-07,46.1824345486506
80.0,8.79478206736528e-07,46.3014216317683
82.0,8.19073470190463e-07,43.6017663824
84.0,7.33791717584279e-07,42.8480646833347
86.0,7.59773966247411e-07,44.6618072784439
88.0,8.26908816561608e-07,45.6879950786991
90.0,7.85807171908472e-07,46.678122885678
92.0,7.78255820069737e-07,48.7852225918138
94.0,8.35131602494678e-07,48.6053342349746
96.0,8.68457399295498e-07,48.47368398567
98.0,8.65770638889853e-07,48.0614818792196
100.0,8.12425447754327e-07,48.2195221876263
